Yorum No,Havayolu,Kullanıcı Adı,Katkı Sayısı,Puan,Başlık / Ana Tema,Rota,Kategori,Seyahat Tarihi,Yorum Tarihi,"Yorum İçeriği (Tam Metin - Türkçe)",Olumlu/Olumsuz/Nötr
327,SunExpress,Derya Manav,1,1,Çalınan forma ve kırık bavul,Samsun - Düsseldorf,Europe,Ağustos 2021,18 Eylül 2021,"Gece saat 03:30 uçuşunda bavulumuzun tekerleği kırılmış ve oğluma aldığım orijinal Galatasaray formasının çalındığını fark ettik. Bagaj hasarı ve eşya kaybı için havayolundan destek talep ettik ancak gerekli ilgi gösterilmedi. Hasarın firma tarafından karşılanmasını istiyoruz ve konu hakkında yetkililerden geri dönüş bekliyoruz.",Olumsuz
328,SunExpress,Muhammed,1,1,Hainlik ve sahtekarlık suçlaması,Antalya - Amsterdam,Europe,Eylül 2021,14 Eylül 2021,"SunExpress sisteminde oluşan hataların yolcunun sorumluluğunda olmadığı halde mağduriyet yaşadım. Bilet işlemlerinde yaşanan sorun nedeniyle uçuş planım aksadı ve firma tarafından çözüm üretilmedi. Bu durum güven kaybına yol açtı ve ilk kez tercih ettiğim bu havayolunu bir daha kullanmayı düşünmüyorum.",Olumsuz
329,SunExpress,Mete K,2,1,Gepäck (bagaj ücreti ve tutum eleştirisi),Malatya - Frankfurt,Europe,Temmuz 2021,19 Temmuz 2021,"Check-in sırasında 2 kg fazlalık için 203 TL ücret alındı. Personelin yaşlı yolculara karşı azarlayıcı ve yüksek sesli konuşma tarzı rahatsız ediciydi. Diğer üç görevlinin aynı fazlalık için işlem yapmaması ise uygulama tutarsızlığı oluşturdu. Bu tür davranışların özellikle gurbetçi yolcuları zor durumda bıraktığını düşünüyorum ve personel yaklaşımının gözden geçirilmesi gerektiğini belirtiyorum.",Olumsuz
330,SunExpress,Mustafa Ş,2,1,Niet aanvaarden van covidtest,Zonguldak - Düsseldorf,Europe,Temmuz 2021,14 Temmuz 2021,"Elimde geçerli COVID test sonuçları olmasına rağmen uçağa alınmadım. 14 Temmuz Zonguldak-Düsseldorf uçuşunda bazı testleri kabul ederken benim testimin reddedilmesi büyük mağduriyet yarattı. Özellikle cenaze nedeniyle seyahat eden bir yolcu için bu durum çok zorlayıcı oldu ve süreç boyunca çözüm sunulmadı.",Olumsuz
331,SunExpress,Osman U,5,1,Hizmet anlamında kocaman bir sıfır,Izmir - Kayseri,DomesticEconomy,Haziran 2021,28 Haziran 2021,"Eşim ve oğlum İzmir-Kayseri uçuşuna katıldılar ve uçuş boyunca hizmet kalitesi sıfırdı. İniş sonrası bagajlar çok uzun süre bekletildi ve geldiğinde valizler kırılmış, yırtılmış ve deforme olmuştu. Valizin hasar gördüğünü belirttiğimde tutanak tutulacağı söylendi ve müşteri hizmetleri ile irtibat kurmam gerektiği ifade edildi. Ancak ne yazık ki aramalarım yanıtsız kaldı, WhatsApp hattından bile geri dönüş yapılmadı. Bu kadar sorumsuz bir hizmet deneyimi hiç yaşamadım ve kesinlikle bu firmayı tavsiye etmiyorum.",Olumsuz
332,SunExpress,Zehra Y,1,1,Rezalet havayolu,London - Gaziantep,Europe,Haziran 2021,15 Haziran 2021,"1,5 ay sonrası için planladığım uçuşum iptal edildi ve iptal ile ilgili herhangi bir bilgilendirme yapılmadı. Böyle bir süreç ve müşteri ilgisizliği nedeniyle SunExpress ile tekrar uçmayı düşünmüyorum. Firmayı dolandırıcı bir tutum sergilediği için asla tercih etmeyeceğim.",Olumsuz
333,SunExpress,By Volkan,1,1,Uçuş iptal edip paranızı iade etmeyen bir şirket,Izmir - Kayseri,DomesticEconomy,Mayıs 2021,1 Mayıs 2021,"SunExpress, uçuş iptal ettikten sonra bilet ücretinin büyük bir kısmını kesinti yaparak iade etti. Bu süreçte müşteri hizmetlerinden herhangi bir destek alınamadı ve firma tamamen sorumsuz davrandı. Profesyonellikten uzak, kurumsal bir yaklaşım sergilemeyen ve yolcuları mağdur eden bir hizmet deneyimi yaşadım. Kesinlikle tavsiye etmiyorum ve bilet almayı düşünmüyorum.",Olumsuz
334,SunExpress,Karabudak A,1,1,Abzocke (fazla bagaj ücreti),Izmir - Düsseldorf,Europe,Nisan 2021,19 Nisan 2021,"4 kilogram fazla bagaj için 50 Euro ücret alındı. Uçak yarı dolu olmasına rağmen bu uygulama yolcuları haksız şekilde mağdur ediyor. Fazla ücret talep edilmesi, hizmet anlayışı açısından ciddi bir problem ve adil olmayan bir uygulama. Müşteri deneyimi açısından son derece olumsuz bir durum.",Olumsuz
335,SunExpress,Fatih Y,1,5,Yardımsever personel,Hannover - Antalya,Europe,Aralık 2020,30 Aralık 2020,"SunExpress personeli çok yardımseverdi. Güler yüzlü ve alçak gönüllü davranışlarıyla ihtiyaç duyulduğunda yolculara fedakarlık gösterecek kadar ilgili oldular. Bu sayede uçuş sırasında olumlu bir deneyim yaşadım ve personelin yaklaşımı takdire değerdi.",Olumlu
336,SunExpress,GS1905GS,1,1,Sunexpress paranızı alır,Antalya - Frankfurt,Europe,Ekim 2020,12 Ekim 2020,"COVID-19 salgını nedeniyle seyahat planımı değiştirmek veya uçuş tarih/saatinde değişiklik yapmak istediğimde SunExpress, ödediğim ücretin yaklaşık %75’ini ceza olarak kesti. Bu durum yolcular için oldukça ağır bir caydırıcılık oluşturuyor. Seyahat planları belirsizleştiğinde daha esnek bir politika beklerdim. Bilet almadan önce değişiklik ve iptal koşullarının dikkatle incelenmesi gerektiğini düşünüyorum.",Olumsuz
337,SunExpress,endermurat,32,1,Bu kadar rezil bu kadar berbat olamaz,Adana - Antalya,Domestic,Eylül 2020,26 Ağustos 2020,"Yılda yaklaşık 12–13 kez uçuş yapan biri olarak SunExpress ile ilk deneyimim oldukça olumsuz oldu. Uçak içi temizlik yetersizdi ve koltuk aralıkları çok dardı; 1.80 boy ve 85 kg olmama rağmen dizlerimi rahatça yerleştiremedim. Personelin tutumu da sert ve soğuktu. Mecbur kalmadıkça bu havayolunu tekrar tercih etmeyi düşünmüyorum.",Olumsuz
338,SunExpress,Hafize,12,5,Her zaman SunExpress,Zurich - Antalya,Europe,Temmuz 2020,28 Temmuz 2020,"Havalimanına üç saat önce geldik ve sıra beklemeden check-in işlemlerimizi yaptık. El bagajı yerine sadece el çantası ve sırt çantası kabul edildi. Uçuş sırasında yemek ve içecek servisi yapıldı ve maske zorunluluğu uygulandı. Grup halinde uçağa biniş sağlandı. Genel olarak rahat ve güleryüzlü personel sayesinde konforlu bir uçuş deneyimi yaşadık.",Olumlu
339,SunExpress,gülsüm b,2,1,Geçen yıl Adana’ya uçmak için mağduriyet,Frankfurt - Adana,Europe,Temmuz 2020,12 Temmuz 2020,"31 Mayıs 2019 tarihinde Frankfurt-Adana uçuşumuz saat 20:00 olarak planlanmıştı ancak uçak kalkışı ertelendi ve ertesi gün saat 15:30 civarında ancak uçabildik. Yaşanan gecikme nedeniyle SunExpress’e iki kez yazılı başvuru yaptık fakat olumsuz yanıt aldık. Uzun süren bekleme ve çözüm bulunamaması büyük mağduriyet yarattı.",Olumsuz
340,SunExpress,ayhan a,1,1,Rezillik,Stuttgart - Izmir,Europe,Temmuz 2020,7 Temmuz 2020,"Stuttgart havalimanında check-in sırasında el bagajında yaklaşık 500 gram fazla olduğu gerekçesiyle bagaj kabul edilmedi ve ücret talep edildi. Yanımda bulunan diğer yolcuların 3–4 kg fazla bagajla sorunsuz geçmesine rağmen aynı uygulamanın yapılmaması uygulama tutarsızlığı oluşturdu. Personelin davranışları yolcular arasında ayrım yapıldığı izlenimini verdi.",Olumsuz
341,SunExpress,gilles789,22,1,Bilet ücreti iadesi ahlaksızlığı,Frankfurt - Antalya,Europe,Mart 2020,16 Haziran 2020,"Frankfurt-Antalya hattında üç ayrı PNR ile rezervasyon yaptım ancak uçuşlar SunExpress tarafından iptal edildi. Defalarca çağrı merkezi ve web sitesi üzerinden iade talebinde bulundum. Her seferinde talebimin alındığı ve geri dönüş yapılacağı söylendi fakat aylar geçmesine rağmen para iadesi yapılmadı. Ayrıca iade sürecinde kredi kartı ekstresi ve IBAN bilgisi talep edilmesi güven sorunu yarattı. İade yapılmış olduğu söylense de hesabıma herhangi bir tutar geçmedi. Bu süreçte iletişim eksikliği ve yanlış bilgilendirme nedeniyle büyük mağduriyet yaşadım.",Olumsuz
342,SunExpress,Ayşenur B,1,1,Sikayet,Kayseri - Antalya,Domestic,Haziran 2020,7 Haziran 2020,"Ameliyat teknik eğitimi için gidiş-dönüş bilet aldım ancak havayolu şirketi uçuş tarihimi değiştirdi ve planladığım konaklama ve ulaşım organizasyonum bozuldu. Müşteri hizmetlerine ulaşmak zor oldu ve her değişiklik için ekstra ücret talep edildi. Pandemi döneminde yolculara destek olunması beklenirken firma yeterince yardımcı olmadı ve bu durum hem maddi hem de planlama açısından mağduriyet yarattı.",Olumsuz
343,SunExpress,Serkan E,1,1,Sahtekarlık - dolandırıcılık - ilgisizlik,Paris - Antalya,Europe,Mayıs 2020,22 Mayıs 2020,"Salgın nedeniyle uçuşların ertelenmesi anlaşılabilir olsa da, uçuş planı değişiklikleri hakkında yeterli bilgilendirme yapılmadı. Telefonlara ulaşılamadı, WhatsApp hattına cevap verilmedi ve yolcu iletişimi çok zayıftı. Para iadesi sürecinde de sorunlar yaşandı. Uçuş garantisi verilmemesine rağmen bilet satılması ve sonrasında destek sunulmaması büyük hayal kırıklığı oluşturdu.",Olumsuz
344,SunExpress,Akın ŞEN,142,1,13 Mart itibariyle değerlendirme,Antalya - Munich,Europe,Mart 2020,15 Mart 2020,"2020 yılı Mart ayı itibariyle pandemi sürecinde havayolunun web sitesi ve çağrı merkezi hizmetlerinin aksadığı gözlemlendi. Seyahat planları belirsizleşti ve müşteri iletişimi zayıfladı. Yıllardır SunExpress ile uçan bir yolcu olarak ilerleyen dönem uçuşlarımı yeniden değerlendirmeyi düşündüm.",Nötr
345,SunExpress,photographer21,14,2,Beğenmedim SunExpress,Diyarbakir - Antalya,Domestic,Kasım 2019,7 Şubat 2020,"Gidiş dönüş bilet aldım; giderken problem yaşamadım ancak dönüş uçuşunda valizim hasar gördü. Bagaj hasarı için tutanak tutulmasına rağmen ödeme yapılmadı. Firma, hasar tazmin sürecinde fatura ve rapor talep ederek süreci zorlaştırdı. Bagajın yıllarca kullanılabilen bir ürün olduğu düşünülürse, yolcu mağduriyetinin giderilmesi gerektiğini düşünüyorum.",Olumsuz
346,SunExpress,meltem,1,1,9 saat rötar,Izmir - Antalya,Domestic,Eylül 2019,3 Şubat 2020,"Eylül 2019'da İzmir-Antalya uçuşum öğlen 13:30'da planlanmıştı ancak uçak tam 9 saat gecikmeyle kalktı. Bu, sadece yaşadığım bir tecrübe değil; daha önce de İzmir’den kalkan uçaklarda yaklaşık 3 saatlik gecikmeler yaşadığımı biliyorum. En büyük sorun, yolcuların önceden bilgilendirilmemesiydi. Havaalanına vardığımda uçuşun 9 saat gecikeceğini öğrendim ve etraftaki yolcular perişan durumdaydı. Uçuş gecikmesi nedeniyle planlarım tamamen aksadı, yolculuk boyunca hem fiziksel hem de zihinsel olarak yorgunluk yaşadım. Bu tür aşırı gecikmelerde firmanın bilgilendirme sistemi yetersiz, iletişim kanalları etkin çalışmıyor ve müşteri hizmetleri bu süreçte yardımcı olamıyor. Yolculuk deneyimi tamamen berbat bir gün yaşatmaktan öteye geçmedi. Bu durum, firmadan beklentileri ciddi şekilde düşürüyor ve tekrar tercih etmemi engelliyor.",Olumsuz
347,SunExpress,Burcu Ç,3,1,Rezalettt,Antalya - Adana,Domestic,Ocak 2020,19 Ocak 2020,"Daha önce de firmanın rötarlı uçuşlarına denk geldiğim için tekrar uçağa bindim ama bu kez de aynı sorunlarla karşılaştım. Uçakta yaşanan sıkıntılar nedeniyle bizi yeniden kalkış noktasına geri götürdüler ve hiçbir şekilde önceden bilgilendirilmedik. Bu tür aksaklıklar, yolcuların zaman planlamasını tamamen bozuyor ve hem maddi hem de kişisel açıdan sıkıntı yaratıyor. Uçağın içindeki olumsuzluklar benim ilgimi çekmedi ama havayolu şirketinin önlem alması ve rötar bilgisini zamanında iletmesi gerekiyor. Yaşadığım deneyim sonrası SunExpress benim için artık tercih edilmeyecek bir firma oldu ve otobüs gibi alternatifleri daha güvenli buluyorum. Genel olarak bu tür hizmet aksaklıkları ciddi bir rahatsızlık yaratıyor.",Olumsuz
348,SunExpress,ufuk yerli,5,5,"Direk uçuş, yeni uçak",Düsseldorf - Izmir,Europe,Aralık 2019,13 Ocak 2020,"Düsseldorf-İzmir hattında ailemle birlikte yaptığımız uçuş, fiyat performans açısından oldukça tatmin ediciydi. Direk uçuş imkanı, yeni ve temiz uçaklar ile konforlu koltuklar sağlandı. Kabin görevlileri güler yüzlü ve ilgiliydi; yolculuk boyunca tüm ihtiyaçlarımızla ilgilendiler. Uçak içi temizlik, check-in ve biniş süreçleri sorunsuz ilerledi. Bu deneyim, SunExpress’in bazı aksaklıklarına rağmen belirli hatlarda kaliteli hizmet sunabildiğini gösteriyor. Özellikle çocuklu aileler ve sık seyahat eden yolcular için rahat ve sorunsuz bir uçuş deneyimi sundu.",Olumlu
349,SunExpress,oscar,12,5,Muhtesemsiniz,Gaziantep - Antalya,Domestic,Ocak 2020,11 Ocak 2020,"Uçuş korkusu yaşayan biri olarak SunExpress ile yaptığım Gaziantep-Antalya uçuşu son derece olumlu geçti. Uçağın kalkışı ve inişi çok düzgün ve konforluydu, bu sayede yolculuk boyunca korkumu yenebildim. Kabin görevlileri ve özellikle kabin amiri Hayriye Hanım’ın misafirperverliği ve ilgisi yolculuğu çok keyifli kıldı. Hizmet kalitesi, güleryüz ve misafirperverlik açısından beklentilerimin çok üstündeydi. Bu deneyim, SunExpress’in sadece bir havayolu firması olarak değil, yolcu memnuniyetine önem veren bir hizmet sağlayıcı olarak da güçlü yönlerini gösteriyor.",Olumlu
350,SunExpress,Zafer Karaca,77,4,Herşey Normal,Düsseldorf - Izmir,Europe,Aralık 2019,6 Ocak 2020,"Bilet fiyatlarına göre verilen hizmet, genel olarak normal düzeydeydi; ne çok kötü ne de mükemmel. Hostesler ilgili ve yardımcıydı, yiyecek ve içecekler fiyatına göre makul seviyedeydi. Uçuş konforu, check-in ve biniş süreçleri ortalama standartlarda ilerledi. SunExpress, bu hat için orta seviyede bir hizmet sundu ve özellikle hosteslerin ilgisi ve kabin içi düzen, yolculuğu sorunsuz kıldı. Genel olarak beklentilerimi karşıladı ama olağanüstü bir memnuniyet yaratmadı.",Nötr
351,Turkish,Marko,47,0,Teşekkürler THY,Skopje - Istanbul,Europe,Şubat 2026,9 Şubat 2026,"Türk Hava Yolları ile yaptığım uçuşta genel hizmet kalitesi oldukça memnuniyet vericiydi. Kabin ekibi güler yüzlü ve profesyonel davrandı. Uçuş boyunca konforlu ve rahat bir yolculuk gerçekleştirdim. Özellikle hosteslerin misafirlere yaklaşımı ve uçuş düzeni yolculuğun keyifli geçmesini sağladı. Bu deneyimimi memnuniyetimi ifade etmek amacıyla paylaşmak istedim ve firma çalışanlarına teşekkür ederim.",Olumlu
352,Turkish,Fatih Akbas,509,0,Tavsiye ederim,Izmir - Istanbul,Domestic,Şubat 2026,7 Şubat 2026,"Uçak zamanında kalkmasına rağmen kabin çalışanlarının yolculara karşı biraz daha ilgili ve güler yüzlü olması gerektiğini düşünüyorum. Sorulara verilen cevapların daha nazik ve açıklayıcı olması beklenirdi. Dünya markası haline gelmiş bir havayolu şirketinin müşteri hizmetleri ve kabin içi iletişim eğitimlerini daha sıkı şekilde uygulaması gerektiğini düşünüyorum. Genel uçuş deneyimi zamanlama açısından iyi olsa da insan ilişkileri açısından geliştirilmesi gereken noktalar vardı.",Nötr
353,Turkish,Giray A,1,0,Harikasın THY,Istanbul - Dallas,International,Ocak 2026,22 Ocak 2026,"Ekonomi sınıfı bilet almama rağmen ve eşim için de normal biletleme yapmama rağmen check-in sırasında yan yana koltuk verilmedi. Bu durumu müşteri hizmetleri ile paylaştım ve uçuş öncesinde desk ile görüşmem önerildi. İzmir Adnan Menderes Havalimanı’ndaki yetkililer uçakta boş koltuk bulunmadığını belirtti. Ancak İstanbul Havalimanı’nda uçağa biniş esnasında yapılan son kontrolde koltuk düzenlemem değiştirildi ve eşimle birlikte business sınıfta yolculuk etmemizi sağlayan bir jest yapıldı. Bu yaklaşım sayesinde çocuklarıma rahatça kavuşabildim ve bu yardımı yapan personele özellikle teşekkür etmek istiyorum.",Olumlu
354,Turkish,Suleyman E,1,0,İki defa bilet satma,Istanbul - Marseille,Europe,Kasım 2025,10 Ocak 2026,"Bilet alırken soy ismimde ve adres bilgilerimde küçük harf hataları bulunmasına rağmen sistem tarafından yeniden bilet satılması ve yaklaşık 52.000 TL ücret alınması büyük mağduriyet yarattı. Sadece iki harf hatası nedeniyle yolculardan tekrar bilet ücreti talep edilmesini doğru bulmuyorum. Uluslararası uçuşlarda pasaport ve oturum belgeleri kontrol edilirken uçak biletindeki küçük yazım hatalarının bu kadar büyük maliyetlere yol açması yolcu memnuniyetini olumsuz etkiliyor. İade talebimin değerlendirilmesini istiyorum.",Olumsuz
355,Turkish,hasan k,11,0,Never again,Istanbul - London,Europe,Ocak 2026,6 Ocak 2026,"5 Ocak 2026 tarihli İstanbul–Heathrow uçuşunda fazla bilet satışı nedeniyle koltuk numarası verilmedi. Bagaj teslim edilmiş olmasına rağmen yolcuya beklemesi söylenmesi ve iletişim tarzının sert olması rahatsızlık yarattı. Online check-in zorunluluğu olduğu belirtilmesine rağmen bu uygulamanın her yolcu için zorunlu olmaması gerektiğini düşünüyorum. Uçuş sırasında yaşanan tartışma ortamı ve polis çağrılması tehdidi yolcu deneyimini olumsuz etkiledi. Son anda boş koltuk bulunarak sorun çözüldü ancak bu deneyim tekrar yaşamak istemeyeceğim bir durum oluşturdu.",Olumsuz
356,Turkish Airlines,Mahir B,1,0,Tarifede olan uçuş iptal edildi,Samsun - Salzburg,Europe,Aralık 2025,10 Aralık 2025,"Satın aldığım tarihte tarifede olan uçuşun daha sonra operasyonel gerekçeyle iptal edilmesi sonucunda bağlantılı uçuşuma yetişebilmek için zorunlu olarak ek konaklama ve ulaşım masrafları yaptım. Havayolu şirketi tarafından önceden bilgilendirildiğim belirtilmesine rağmen mağduriyetimi doğuran bu iptal nedeniyle oluşan ek maliyetlerin karşılanmasını talep ettim ancak talebim reddedildi.",Olumsuz
357,Turkish Airlines,Volkan P,116,0,Kabin ekibinin ilgi ve nezaketi,Nice - Istanbul,International,Aralık 2025,7 Aralık 2025,"Nice-İstanbul uçuşunda kabin ekibinin güler yüzlü ve profesyonel hizmetinden memnun kaldık. Özellikle Ayşe Ecem Edwards, Merve Doğru ve Aytuğ Aygün’e gösterdikleri ilgi ve nezaket için teşekkür ederiz. Uçuş deneyimi genel olarak rahat ve sorunsuz geçti.",Olumlu
358,Turkish Airlines,senel t,4,0,Sorumsuz hava yolları,Istanbul - Melbourne,International,Eylül 2025,30 Eylül 2025,"Check-in sırasında eşimle koltuk numaralarımızın ters verildiğini fark ettik ancak bildirmemize rağmen ilgilenen olmadı ve uçakta ayrı oturmak zorunda kaldık. Uçuş sırasında yemek seçeneklerinin yetersiz olduğunu ve servis edilen yemeklerin kalite olarak beklentimizi karşılamadığını düşünüyorum. Genel olarak stresli ve memnuniyetsiz bir yolculuk oldu.",Olumsuz
